Park_and_Ride_Station,Passengers,Radius,Tour_Length
Tuscany Station - Rocky Ridge Terminal,6,2,23490.548
Tuscany Station - Rocky Ridge Terminal,6,2,24557.684
Tuscany Station - Rocky Ridge Terminal,6,2,25370.725999999995
Tuscany Station - Rocky Ridge Terminal,6,3,22060.843999999994
Tuscany Station - Rocky Ridge Terminal,6,3,24852.037999999997
Tuscany Station - Rocky Ridge Terminal,6,3,17826.716999999997
Tuscany Station - Rocky Ridge Terminal,6,4,24994.809999999998
Tuscany Station - Rocky Ridge Terminal,6,4,27331.307999999997
Tuscany Station - Rocky Ridge Terminal,6,4,26368.928
Tuscany Station - Rocky Ridge Terminal,6,5,41297.695999999996
Tuscany Station - Rocky Ridge Terminal,6,5,38212.906
Tuscany Station - Rocky Ridge Terminal,6,5,24752.28
Tuscany Station - Rocky Ridge Terminal,7,1,14357.808999999997
Tuscany Station - Rocky Ridge Terminal,7,1,17224.844999999994
Tuscany Station - Rocky Ridge Terminal,7,1,17418.013999999996
Tuscany Station - Rocky Ridge Terminal,7,2,29143.477
Tuscany Station - Rocky Ridge Terminal,7,2,23145.372000000003
Tuscany Station - Rocky Ridge Terminal,7,2,20150.74
Tuscany Station - Rocky Ridge Terminal,7,3,18486.18499999999
Tuscany Station - Rocky Ridge Terminal,7,3,27202.679
Tuscany Station - Rocky Ridge Terminal,7,3,25922.486999999997
Tuscany Station - Rocky Ridge Terminal,7,4,36835.496
Tuscany Station - Rocky Ridge Terminal,7,4,29804.845999999998
Tuscany Station - Rocky Ridge Terminal,7,4,22321.610999999997
Tuscany Station - Rocky Ridge Terminal,7,5,38351.975
Tuscany Station - Rocky Ridge Terminal,7,5,33793.6
Tuscany Station - Rocky Ridge Terminal,7,5,33066.844
Tuscany Station - Rocky Ridge Terminal,8,1,14109.470999999998
Tuscany Station - Rocky Ridge Terminal,8,1,18819.710999999996
Tuscany Station - Rocky Ridge Terminal,8,1,20944.711999999996
Tuscany Station - Rocky Ridge Terminal,8,2,20673.814999999995
Tuscany Station - Rocky Ridge Terminal,8,2,31304.272
Tuscany Station - Rocky Ridge Terminal,8,2,20801.572
Tuscany Station - Rocky Ridge Terminal,8,3,30284.797
Tuscany Station - Rocky Ridge Terminal,8,3,25511.777000000002
Tuscany Station - Rocky Ridge Terminal,8,3,27758.154000000002
Tuscany Station - Rocky Ridge Terminal,8,4,24609.291999999998
Tuscany Station - Rocky Ridge Terminal,8,4,25784.305999999997
Tuscany Station - Rocky Ridge Terminal,8,4,37838.723
Tuscany Station - Rocky Ridge Terminal,8,5,49084.30299999999
Tuscany Station - Rocky Ridge Terminal,8,5,37816.75399999999
Tuscany Station - Rocky Ridge Terminal,8,5,39810.772
Tuscany Station - Rocky Ridge Terminal,9,1,24561.078999999998
Tuscany Station - Rocky Ridge Terminal,9,1,22606.39
Tuscany Station - Rocky Ridge Terminal,9,1,19516.096999999994
Tuscany Station - Rocky Ridge Terminal,9,2,27571.543999999998
Tuscany Station - Rocky Ridge Terminal,9,2,29191.339999999997
Tuscany Station - Rocky Ridge Terminal,9,2,25671.867999999995
Tuscany Station - Rocky Ridge Terminal,9,3,25680.37
Tuscany Station - Rocky Ridge Terminal,9,3,29843.636999999995
Tuscany Station - Rocky Ridge Terminal,9,3,25594.563
Tuscany Station - Rocky Ridge Terminal,9,4,40608.695
Tuscany Station - Rocky Ridge Terminal,9,4,40750.49599999999
Tuscany Station - Rocky Ridge Terminal,9,4,27621.392999999996
Tuscany Station - Rocky Ridge Terminal,9,5,35681.746
Tuscany Station - Rocky Ridge Terminal,9,5,40172.00199999999
Tuscany Station - Rocky Ridge Terminal,9,5,39952.414999999986
Tuscany Station - Rocky Ridge Terminal,10,1,22120.115999999995
Tuscany Station - Rocky Ridge Terminal,10,1,23895.646999999994
Tuscany Station - Rocky Ridge Terminal,10,1,28833.864999999994
Tuscany Station - Rocky Ridge Terminal,10,2,27732.194999999996
Tuscany Station - Rocky Ridge Terminal,10,2,26648.097999999998
Tuscany Station - Rocky Ridge Terminal,10,2,28567.520999999997
